ax,ay,az,ex,ey,ez,gx,gy,gz,qw,qx,qy,qz,mx,my,mz,BatteryPercent,SystemStatus,GyroStatus,AccelStatus,MagStatus,Timestamp,SequenceNum
0.020000,-0.110000,0.070000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.235779,-0.680359,0.680664,-0.135132,100.000000,0.000000,0.000000,0.000000,0.000000,907.880000,85241.000000
0.050000,-0.080000,0.090000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.235962,-0.680359,0.680542,-0.135254,100.000000,0.000000,0.000000,0.000000,0.000000,907.890000,85242.000000
-0.010000,0.000000,0.110000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.236084,-0.680420,0.680420,-0.135498,100.000000,0.000000,0.000000,0.000000,0.000000,907.900000,85243.000000
-0.050000,0.040000,0.090000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.236145,-0.680481,0.680298,-0.135559,100.000000,0.000000,0.000000,0.000000,0.000000,907.910000,85244.000000
-0.030000,-0.010000,0.120000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.236145,-0.680542,0.680237,-0.135620,100.000000,0.000000,0.000000,0.000000,0.000000,907.920000,85245.000000
-0.020000,-0.040000,0.090000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.236145,-0.680603,0.680176,-0.135681,100.000000,0.000000,0.000000,0.000000,0.000000,907.930000,85246.000000
0.000000,-0.020000,0.070000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.236145,-0.680603,0.680115,-0.135681,100.000000,0.000000,0.000000,0.000000,0.000000,907.940000,85247.000000
-0.010000,-0.040000,0.060000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.236145,-0.680664,0.680054,-0.135681,100.000000,0.000000,0.000000,0.000000,0.000000,907.950000,85248.000000
-0.020000,-0.030000,0.060000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.236145,-0.680664,0.680054,-0.135681,100.000000,0.000000,0.000000,0.000000,0.000000,907.960000,85249.000000
-0.050000,-0.050000,0.080000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.236145,-0.680664,0.680054,-0.135681,100.000000,0.000000,0.000000,0.000000,0.000000,907.970000,85250.000000
-0.030000,-0.010000,0.080000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.236206,-0.680664,0.680054,-0.135559,100.000000,0.000000,0.000000,0.000000,0.000000,907.980000,85251.000000
-0.060000,-0.010000,0.080000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.236145,-0.680725,0.680054,-0.135376,100.000000,0.000000,0.000000,0.000000,0.000000,907.990000,85252.000000
-0.030000,-0.020000,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.235962,-0.680847,0.680054,-0.135254,100.000000,0.000000,0.000000,0.000000,0.000000,908.000000,85253.000000
0.000000,0.050000,0.080000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.235657,-0.681030,0.679993,-0.135010,100.000000,0.000000,0.000000,0.000000,0.000000,908.010000,85254.000000
0.000000,0.010000,0.070000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.235474,-0.681213,0.679932,-0.134827,100.000000,0.000000,0.000000,0.000000,0.000000,908.020000,85255.000000
-0.030000,0.000000,0.070000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.235474,-0.681213,0.679932,-0.134827,100.000000,0.000000,0.000000,0.000000,0.000000,908.030000,85256.000000
-0.040000,-0.010000,0.090000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.235229,-0.681335,0.679932,-0.134644,100.000000,0.000000,0.000000,0.000000,0.000000,908.040000,85257.000000
-0.040000,0.000000,0.090000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.234863,-0.681580,0.679932,-0.134277,100.000000,0.000000,0.000000,0.000000,0.000000,908.050000,85258.000000
-0.060000,-0.020000,0.070000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.234619,-0.681580,0.679993,-0.134155,100.000000,0.000000,0.000000,0.000000,0.000000,908.060000,85259.000000
-0.020000,-0.110000,0.060000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.234436,-0.681641,0.680054,-0.134033,100.000000,0.000000,0.000000,0.000000,0.000000,908.070000,85260.000000
-0.040000,-0.070000,0.040000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.234436,-0.681641,0.680054,-0.134033,100.000000,0.000000,0.000000,0.000000,0.000000,908.080000,85261.000000
-0.030000,-0.010000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.234192,-0.681702,0.680115,-0.133972,100.000000,0.000000,0.000000,0.000000,0.000000,908.091000,85262.000000
-0.040000,0.000000,-0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.233704,-0.681702,0.680237,-0.134033,100.000000,0.000000,0.000000,0.000000,0.000000,908.101000,85263.000000
0.010000,0.040000,-0.050000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.233459,-0.681702,0.680298,-0.134033,100.000000,0.000000,0.000000,0.000000,0.000000,908.111000,85264.000000
