ax,ay,az,ex,ey,ez,gx,gy,gz,mx,my,mz,qw,qx,qy,qz,BatteryPercent,SystemStatus,GyroStatus,AccelStatus,MagStatus,Timestamp,SequenceNum
0.650000,-0.630000,0.090000,0.000000,0.000000,0.000000,10.250000,-37.000000,63.000000,0.000000,0.000000,0.000000,0.183655,0.928040,0.321472,0.040222,76.000000,0.000000,3.000000,3.000000,3.000000,1578.833000,156157.000000
0.530000,-1.100000,0.020000,0.000000,0.000000,0.000000,11.875000,-41.687500,60.750000,0.000000,0.000000,0.000000,0.183655,0.930054,0.316101,0.037598,76.000000,0.000000,3.000000,3.000000,3.000000,1578.843000,156158.000000
0.460000,-1.530000,-0.120000,0.000000,0.000000,0.000000,11.875000,-41.687500,60.750000,0.000000,0.000000,0.000000,0.183655,0.930054,0.316101,0.037598,76.000000,0.000000,3.000000,3.000000,3.000000,1578.853000,156159.000000
0.540000,-1.960000,0.000000,0.000000,0.000000,0.000000,12.437500,-49.000000,59.125000,0.000000,0.000000,0.000000,0.184143,0.933716,0.305542,0.029541,76.000000,0.000000,3.000000,3.000000,3.000000,1578.864000,156160.000000
1.340000,-2.090000,0.170000,0.000000,0.000000,0.000000,17.875000,-83.500000,47.687500,0.000000,0.000000,0.000000,0.184753,0.935425,0.300476,0.023254,76.000000,0.000000,3.000000,3.000000,3.000000,1578.874000,156161.000000
1.060000,-2.510000,0.110000,0.000000,0.000000,0.000000,15.187500,-101.312500,50.875000,0.000000,0.000000,0.000000,0.186035,0.937134,0.294922,0.015625,76.000000,0.000000,3.000000,3.000000,3.000000,1578.884000,156162.000000
0.980000,-2.020000,-0.090000,0.000000,0.000000,0.000000,20.437500,-119.500000,56.000000,0.000000,0.000000,0.000000,0.187317,0.938904,0.288635,0.006592,76.000000,0.000000,3.000000,3.000000,3.000000,1578.894000,156163.000000
1.000000,-0.450000,-0.960000,0.000000,0.000000,0.000000,29.750000,-125.437500,64.687500,0.000000,0.000000,0.000000,0.187927,0.940979,0.281494,-0.003113,76.000000,0.000000,3.000000,3.000000,3.000000,1578.904000,156164.000000
0.360000,-1.310000,-1.560000,0.000000,0.000000,0.000000,29.750000,-125.437500,64.687500,0.000000,0.000000,0.000000,0.188660,0.943298,0.272949,-0.011169,76.000000,0.000000,3.000000,3.000000,3.000000,1578.914000,156165.000000
-0.380000,-1.240000,-2.130000,0.000000,0.000000,0.000000,14.812500,-81.562500,108.687500,0.000000,0.000000,0.000000,0.189453,0.945862,0.262939,-0.016296,76.000000,0.000000,3.000000,3.000000,3.000000,1578.924000,156166.000000
-1.190000,0.580000,-2.930000,0.000000,0.000000,0.000000,15.500000,-44.687500,124.750000,0.000000,0.000000,0.000000,0.189392,0.948792,0.252258,-0.018188,76.000000,0.000000,3.000000,3.000000,3.000000,1578.934000,156167.000000
-2.110000,5.090000,-4.170000,0.000000,0.000000,0.000000,24.312500,-10.125000,127.625000,0.000000,0.000000,0.000000,0.187805,0.951843,0.241821,-0.017456,76.000000,0.000000,3.000000,3.000000,3.000000,1578.944000,156168.000000
-1.970000,8.180000,-4.720000,0.000000,0.000000,0.000000,24.312500,-10.125000,127.625000,0.000000,0.000000,0.000000,0.185059,0.954712,0.232300,-0.015747,76.000000,0.000000,3.000000,3.000000,3.000000,1578.954000,156169.000000
-2.450000,9.120000,-5.140000,0.000000,0.000000,0.000000,33.312500,12.125000,102.875000,0.000000,0.000000,0.000000,0.182251,0.957275,0.224182,-0.013794,76.000000,0.000000,3.000000,3.000000,3.000000,1578.964000,156170.000000
-2.930000,10.760000,-5.480000,0.000000,0.000000,0.000000,36.500000,6.750000,80.375000,0.000000,0.000000,0.000000,0.179260,0.959351,0.217712,-0.012695,76.000000,0.000000,3.000000,3.000000,3.000000,1578.974000,156171.000000
-4.340000,12.660000,-6.060000,0.000000,0.000000,0.000000,27.500000,1.500000,56.812500,0.000000,0.000000,0.000000,0.177063,0.960754,0.213074,-0.012207,76.000000,0.000000,3.000000,3.000000,3.000000,1578.984000,156172.000000
-4.680000,12.820000,-6.330000,0.000000,0.000000,0.000000,22.562500,-5.937500,31.062500,0.000000,0.000000,0.000000,0.175354,0.961670,0.210449,-0.012634,76.000000,0.000000,3.000000,3.000000,3.000000,1578.994000,156173.000000
-4.820000,13.200000,-6.180000,0.000000,0.000000,0.000000,20.812500,-10.125000,4.562500,0.000000,0.000000,0.000000,0.173889,0.962036,0.209900,-0.013794,76.000000,0.000000,3.000000,3.000000,3.000000,1579.004000,156174.000000
-5.580000,10.080000,-5.280000,0.000000,0.000000,0.000000,9.750000,-12.187500,-13.375000,0.000000,0.000000,0.000000,0.173279,0.961914,0.210815,-0.015137,76.000000,0.000000,3.000000,3.000000,3.000000,1579.014000,156175.000000
-4.740000,9.950000,-4.900000,0.000000,0.000000,0.000000,7.250000,-12.937500,-31.312500,0.000000,0.000000,0.000000,0.172852,0.961426,0.213135,-0.016785,76.000000,0.000000,3.000000,3.000000,3.000000,1579.024000,156176.000000
-4.900000,8.500000,-4.200000,0.000000,0.000000,0.000000,6.062500,-9.750000,-46.375000,0.000000,0.000000,0.000000,0.172485,0.960693,0.216797,-0.018372,76.000000,0.000000,3.000000,3.000000,3.000000,1579.034000,156177.000000
-3.480000,4.100000,-2.990000,0.000000,0.000000,0.000000,12.750000,-4.750000,-61.125000,0.000000,0.000000,0.000000,0.171448,0.959717,0.221680,-0.019897,76.000000,0.000000,3.000000,3.000000,3.000000,1579.044000,156178.000000
-3.480000,4.100000,-2.990000,0.000000,0.000000,0.000000,16.750000,2.125000,-67.250000,0.000000,0.000000,0.000000,0.169922,0.958679,0.227112,-0.020996,76.000000,0.000000,3.000000,3.000000,3.000000,1579.054000,156179.000000
-2.560000,2.340000,-2.260000,0.000000,0.000000,0.000000,17.437500,9.500000,-68.562500,0.000000,0.000000,0.000000,0.168213,0.957642,0.232788,-0.021545,76.000000,0.000000,3.000000,3.000000,3.000000,1579.064000,156180.000000
-2.560000,2.340000,-2.260000,0.000000,0.000000,0.000000,18.625000,15.812500,-67.750000,0.000000,0.000000,0.000000,0.166260,0.956604,0.238403,-0.021606,76.000000,0.000000,3.000000,3.000000,3.000000,1579.074000,156181.000000
-1.090000,0.550000,-1.530000,0.000000,0.000000,0.000000,17.250000,20.812500,-66.562500,0.000000,0.000000,0.000000,0.164307,0.955505,0.244080,-0.021179,76.000000,0.000000,3.000000,3.000000,3.000000,1579.085000,156182.000000
-0.820000,0.560000,-1.480000,0.000000,0.000000,0.000000,14.312500,24.500000,-65.812500,0.000000,0.000000,0.000000,0.162537,0.954346,0.249695,-0.020447,76.000000,0.000000,3.000000,3.000000,3.000000,1579.095000,156183.000000
-0.300000,0.560000,-1.530000,0.000000,0.000000,0.000000,8.500000,23.812500,-66.375000,0.000000,0.000000,0.000000,0.161255,0.953125,0.255371,-0.019592,76.000000,0.000000,3.000000,3.000000,3.000000,1579.105000,156184.000000
0.140000,0.480000,-1.590000,0.000000,0.000000,0.000000,8.500000,23.812500,-66.375000,0.000000,0.000000,0.000000,0.159912,0.951843,0.260986,-0.018738,76.000000,0.000000,3.000000,3.000000,3.000000,1579.115000,156185.000000
-0.050000,0.870000,-1.780000,0.000000,0.000000,0.000000,0.000000,19.875000,-72.000000,0.000000,0.000000,0.000000,0.159363,0.950256,0.267090,-0.018127,76.000000,0.000000,3.000000,3.000000,3.000000,1579.125000,156186.000000
-0.390000,0.870000,-1.840000,0.000000,0.000000,0.000000,-7.562500,16.437500,-77.250000,0.000000,0.000000,0.000000,0.159485,0.948425,0.273499,-0.017700,76.000000,0.000000,3.000000,3.000000,3.000000,1579.135000,156187.000000
