ax,ay,az,ex,ey,ez,gx,gy,gz,qw,qx,qy,qz,mx,my,mz,BatteryPercent,SystemStatus,GyroStatus,AccelStatus,MagStatus,Timestamp,SequenceNum
0.020000,-0.030000,-0.040000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.101135,-0.503479,0.857056,0.041748,100.000000,0.000000,0.000000,0.000000,0.000000,875.437000,82040.000000
0.020000,-0.060000,-0.050000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100891,-0.503479,0.857056,0.041931,100.000000,0.000000,0.000000,0.000000,0.000000,875.447000,82041.000000
0.010000,-0.070000,-0.040000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100769,-0.503540,0.857056,0.041992,100.000000,0.000000,0.000000,0.000000,0.000000,875.457000,82042.000000
0.000000,-0.090000,-0.040000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100647,-0.503540,0.857056,0.042053,100.000000,0.000000,0.000000,0.000000,0.000000,875.467000,82043.000000
0.040000,-0.070000,-0.040000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100647,-0.503540,0.857056,0.042053,100.000000,0.000000,0.000000,0.000000,0.000000,875.477000,82044.000000
0.010000,-0.090000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100342,-0.503479,0.857117,0.042175,100.000000,0.000000,0.000000,0.000000,0.000000,875.487000,82045.000000
0.000000,-0.100000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100220,-0.503418,0.857178,0.042175,100.000000,0.000000,0.000000,0.000000,0.000000,875.497000,82046.000000
0.020000,-0.060000,0.030000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100220,-0.503418,0.857178,0.042175,100.000000,0.000000,0.000000,0.000000,0.000000,875.507000,82047.000000
-0.180000,0.230000,0.660000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.093567,-0.504028,0.857483,0.044006,100.000000,0.000000,0.000000,0.000000,0.000000,875.657000,82062.000000
-0.180000,0.250000,0.670000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.092224,-0.504517,0.857300,0.044312,100.000000,0.000000,0.000000,0.000000,0.000000,875.667000,82063.000000
-0.190000,0.180000,0.760000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.090576,-0.505188,0.857056,0.044617,100.000000,0.000000,0.000000,0.000000,0.000000,875.677000,82064.000000
-0.200000,0.330000,0.780000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.088623,-0.506165,0.856689,0.045227,100.000000,0.000000,0.000000,0.000000,0.000000,875.687000,82065.000000
-0.260000,0.320000,0.620000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.086426,-0.507446,0.856140,0.045898,100.000000,0.000000,0.000000,0.000000,0.000000,875.697000,82066.000000
-0.500000,0.030000,0.450000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.084351,-0.508911,0.855408,0.046814,100.000000,0.000000,0.000000,0.000000,0.000000,875.707000,82067.000000
-0.740000,0.090000,0.250000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.081848,-0.510742,0.854492,0.048035,100.000000,0.000000,0.000000,0.000000,0.000000,875.717000,82068.000000
-1.110000,-0.250000,0.210000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.079346,-0.513000,0.853271,0.049744,100.000000,0.000000,0.000000,0.000000,0.000000,875.727000,82069.000000
-1.750000,-0.130000,-0.570000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.076721,-0.515625,0.851746,0.052124,100.000000,0.000000,0.000000,0.000000,0.000000,875.737000,82070.000000
-1.900000,-0.200000,-1.190000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.074158,-0.518738,0.849915,0.055359,100.000000,0.000000,0.000000,0.000000,0.000000,875.747000,82071.000000
