ax,ay,az,ex,ey,ez,gx,gy,gz,qw,qx,qy,qz,mx,my,mz,BatteryPercent,SystemStatus,GyroStatus,AccelStatus,MagStatus,Timestamp,SequenceNum
0.420000,-0.170000,-0.930000,0.000000,0.000000,0.000000,-34.437500,7.312500,23.375000,0.000000,0.000000,0.000000,0.174500,0.667236,0.689209,0.222107,78.000000,2.000000,3.000000,3.000000,3.000000,1412.875000,139644.000000
0.000000,0.160000,-1.010000,0.000000,0.000000,0.000000,-31.437500,6.562500,27.125000,0.000000,0.000000,0.000000,0.175354,0.668213,0.687195,0.224731,78.000000,2.000000,3.000000,3.000000,3.000000,1412.885000,139645.000000
-0.580000,1.270000,-0.890000,0.000000,0.000000,0.000000,-27.812500,5.187500,31.750000,0.000000,0.000000,0.000000,0.176025,0.669556,0.684937,0.227112,78.000000,2.000000,3.000000,3.000000,3.000000,1412.895000,139646.000000
-0.820000,1.840000,-0.900000,0.000000,0.000000,0.000000,-22.312500,3.125000,35.187500,0.000000,0.000000,0.000000,0.176453,0.671204,0.682556,0.229065,78.000000,2.000000,3.000000,3.000000,3.000000,1412.905000,139647.000000
-0.930000,2.260000,-1.030000,0.000000,0.000000,0.000000,-15.437500,1.562500,36.687500,0.000000,0.000000,0.000000,0.176514,0.673035,0.680176,0.230591,78.000000,2.000000,3.000000,3.000000,3.000000,1412.915000,139648.000000
-1.250000,2.940000,-0.900000,0.000000,0.000000,0.000000,-8.812500,-0.937500,36.187500,0.000000,0.000000,0.000000,0.176392,0.674988,0.677979,0.231628,78.000000,2.000000,3.000000,3.000000,3.000000,1412.925000,139649.000000
-1.490000,3.840000,-1.280000,0.000000,0.000000,0.000000,-2.812500,-1.125000,35.437500,0.000000,0.000000,0.000000,0.175903,0.677002,0.675842,0.232239,78.000000,2.000000,3.000000,3.000000,3.000000,1412.935000,139650.000000
-1.860000,4.660000,-1.160000,0.000000,0.000000,0.000000,0.687500,-1.125000,32.500000,0.000000,0.000000,0.000000,0.175293,0.678894,0.674011,0.232605,78.000000,2.000000,3.000000,3.000000,3.000000,1412.945000,139651.000000
-1.790000,4.620000,-1.260000,0.000000,0.000000,0.000000,9.187500,4.312500,28.812500,0.000000,0.000000,0.000000,0.173950,0.680603,0.672607,0.232788,78.000000,2.000000,3.000000,3.000000,3.000000,1412.955000,139652.000000
-1.620000,4.680000,-1.580000,0.000000,0.000000,0.000000,13.812500,12.750000,26.375000,0.000000,0.000000,0.000000,0.171875,0.682068,0.671509,0.233093,78.000000,2.000000,3.000000,3.000000,3.000000,1412.965000,139653.000000
-1.520000,5.640000,-2.140000,0.000000,0.000000,0.000000,16.062500,18.687500,20.250000,0.000000,0.000000,0.000000,0.169495,0.683044,0.670959,0.233582,78.000000,2.000000,3.000000,3.000000,3.000000,1412.975000,139654.000000
-1.440000,5.440000,-2.530000,0.000000,0.000000,0.000000,22.812500,22.687500,11.125000,0.000000,0.000000,0.000000,0.166687,0.683533,0.671082,0.233704,78.000000,2.000000,3.000000,3.000000,3.000000,1412.985000,139655.000000
-1.220000,5.500000,-2.840000,0.000000,0.000000,0.000000,29.125000,26.062500,2.875000,0.000000,0.000000,0.000000,0.163452,0.683594,0.671814,0.233643,78.000000,2.000000,3.000000,3.000000,3.000000,1412.995000,139656.000000
-0.740000,4.830000,-3.380000,0.000000,0.000000,0.000000,35.750000,27.312500,-5.312500,0.000000,0.000000,0.000000,0.159973,0.683289,0.673218,0.233093,78.000000,1.000000,3.000000,3.000000,3.000000,1413.005000,139657.000000
-0.360000,3.760000,-3.540000,0.000000,0.000000,0.000000,42.000000,23.750000,-15.125000,0.000000,0.000000,0.000000,0.156494,0.682495,0.675232,0.231873,78.000000,1.000000,3.000000,3.000000,3.000000,1413.015000,139658.000000
-0.020000,2.970000,-3.690000,0.000000,0.000000,0.000000,44.250000,15.812500,-24.250000,0.000000,0.000000,0.000000,0.153503,0.681396,0.677734,0.229919,78.000000,1.000000,3.000000,3.000000,3.000000,1413.025000,139659.000000
0.240000,2.520000,-3.710000,0.000000,0.000000,0.000000,42.000000,3.062500,-31.125000,0.000000,0.000000,0.000000,0.151489,0.680054,0.680359,0.227295,78.000000,1.000000,3.000000,3.000000,3.000000,1413.035000,139660.000000
0.600000,1.280000,-3.650000,0.000000,0.000000,0.000000,41.250000,-15.312500,-37.687500,0.000000,0.000000,0.000000,0.150696,0.678711,0.683105,0.223572,78.000000,1.000000,3.000000,3.000000,3.000000,1413.045000,139661.000000
0.730000,0.680000,-3.350000,0.000000,0.000000,0.000000,41.937500,-36.937500,-44.500000,0.000000,0.000000,0.000000,0.151306,0.677368,0.685974,0.218445,78.000000,1.000000,3.000000,3.000000,3.000000,1413.055000,139662.000000
