ax,ay,az,ex,ey,ez,gx,gy,gz,qw,qx,qy,qz,mx,my,mz,BatteryPercent,SystemStatus,GyroStatus,AccelStatus,MagStatus,Timestamp,SequenceNum
-2.250000,-1.260000,-0.490000,0.000000,0.000000,0.000000,13.875000,16.250000,-18.250000,0.000000,0.000000,0.000000,0.141968,0.976685,0.158264,-0.030273,77.000000,0.000000,3.000000,3.000000,3.000000,1491.655000,147484.000000
-1.580000,-6.580000,-1.100000,0.000000,0.000000,0.000000,7.625000,17.375000,-18.125000,0.000000,0.000000,0.000000,0.143982,0.976196,0.159851,-0.028687,77.000000,0.000000,3.000000,3.000000,3.000000,1491.665000,147485.000000
1.200000,3.980000,-2.260000,0.000000,0.000000,0.000000,-35.375000,-0.375000,2.875000,0.000000,0.000000,0.000000,0.143982,0.976196,0.159851,-0.028687,77.000000,0.000000,3.000000,3.000000,3.000000,1491.675000,147486.000000
-1.260000,-1.750000,-1.420000,0.000000,0.000000,0.000000,-13.250000,-14.812500,-2.000000,0.000000,0.000000,0.000000,0.146667,0.975769,0.159790,-0.029785,77.000000,0.000000,3.000000,3.000000,3.000000,1491.685000,147487.000000
-1.930000,4.440000,-1.280000,0.000000,0.000000,0.000000,-16.250000,-3.500000,1.000000,0.000000,0.000000,0.000000,0.146667,0.975769,0.159790,-0.029785,77.000000,0.000000,3.000000,3.000000,3.000000,1491.695000,147488.000000
-1.310000,-5.260000,-0.320000,0.000000,0.000000,0.000000,9.812500,1.375000,-14.437500,0.000000,0.000000,0.000000,0.145813,0.975647,0.160950,-0.029968,77.000000,0.000000,3.000000,3.000000,3.000000,1491.705000,147489.000000
-1.390000,4.460000,-0.030000,0.000000,0.000000,0.000000,2.375000,8.312500,-11.562500,0.000000,0.000000,0.000000,0.146667,0.975281,0.162659,-0.029175,77.000000,0.000000,3.000000,3.000000,3.000000,1491.715000,147490.000000
-1.700000,7.210000,-1.020000,0.000000,0.000000,0.000000,-15.625000,2.375000,-6.812500,0.000000,0.000000,0.000000,0.146057,0.975159,0.164001,-0.029480,77.000000,0.000000,3.000000,3.000000,3.000000,1491.725000,147491.000000
-1.920000,-2.800000,-0.150000,0.000000,0.000000,0.000000,7.000000,0.312500,-17.125000,0.000000,0.000000,0.000000,0.144470,0.974976,0.166565,-0.028503,77.000000,0.000000,3.000000,3.000000,3.000000,1491.735000,147492.000000
0.470000,1.430000,0.440000,0.000000,0.000000,0.000000,15.562500,18.562500,-28.500000,0.000000,0.000000,0.000000,0.144470,0.974976,0.166565,-0.028503,77.000000,0.000000,3.000000,3.000000,3.000000,1491.745000,147493.000000
-0.550000,2.130000,0.150000,0.000000,0.000000,0.000000,10.750000,19.500000,-31.562500,0.000000,0.000000,0.000000,0.143188,0.974731,0.169373,-0.027405,77.000000,0.000000,3.000000,3.000000,3.000000,1491.755000,147494.000000
-0.330000,-2.580000,0.850000,0.000000,0.000000,0.000000,28.062500,20.062500,-40.875000,0.000000,0.000000,0.000000,0.138000,0.974243,0.176575,-0.024841,77.000000,0.000000,3.000000,3.000000,3.000000,1491.765000,147495.000000
0.900000,1.480000,0.370000,0.000000,0.000000,0.000000,23.812500,32.000000,-40.562500,0.000000,0.000000,0.000000,0.135193,0.973999,0.180420,-0.022888,77.000000,0.000000,3.000000,3.000000,3.000000,1491.775000,147496.000000
0.250000,-0.360000,0.690000,0.000000,0.000000,0.000000,26.625000,34.375000,-42.562500,0.000000,0.000000,0.000000,0.131775,0.973755,0.184448,-0.020935,77.000000,0.000000,3.000000,3.000000,3.000000,1491.786000,147497.000000
